,Position,Track Name,Artist,Streams,URL,date
142,143,Nice To Meet Ya,Niall Horan,5730427,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,2020-01-12
143,144,Into the Unknown,Idina Menzel,5705999,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,2020-01-12
144,145,goosebumps,Travis Scott,5676540,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2020-01-12
145,146,Con Altura,ROSALÍA,5637439,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2020-01-12
146,147,Con Calma,Daddy Yankee,5636627,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2020-01-12
147,148,Perfect,Ed Sheeran,5629094,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2020-01-12
148,149,High Hopes,Panic! At The Disco,5628452,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2020-01-12
149,150,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,5572037,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,2020-01-12
150,151,Turn Me On (feat. Vula),Riton,5569183,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,2020-01-12
151,152,Que Calor (with J Balvin & El Alfa),Major Lazer,5537885,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,2020-01-12
152,153,Jocelyn Flores,XXXTENTACION,5531390,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2020-01-12
153,154,Maniac,Conan Gray,5472453,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,2020-01-12
154,155,Only Human,Jonas Brothers,5456016,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,2020-01-12
155,156,GOODMORNINGTOKYO!,TOKYO’S REVENGE,5427652,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,2020-01-12
156,157,QUE PRETENDES,J Balvin,5420481,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2020-01-12
